,0,1,2,3,4,5,6,7,8,9
0,9,1,1,1,0.23007631301879883,25,1890,0.23437905311584473,0.23007631301879883,0.22993803024291992
1,9,1,1,2,0.23079800605773926,25,1890,0.2310469150543213,0.23079800605773926,0.22984671592712402
2,9,1,1,3,0.2338087558746338,25,1855,0.23394775390625,0.2338087558746338,0.23363304138183594
3,9,1,2,1,0.09263801574707031,12,708,0.09313583374023438,0.09260320663452148,0.09263801574707031
4,9,1,2,2,0.09266901016235352,12,708,0.09266901016235352,0.09271812438964844,0.09233403205871582
5,9,1,2,3,0.0665442943572998,12,466,0.0666356086730957,0.06634688377380371,0.0665442943572998
6,9,1,3,1,0.12629294395446777,2,1031,0.12636399269104004,0.12629294395446777,0.12607312202453613
7,9,1,3,2,0.1263587474822998,2,1031,0.12642192840576172,0.12635087966918945,0.1263587474822998
8,9,1,3,3,0.12627410888671875,2,992,0.12666678428649902,0.12627410888671875,0.12600111961364746
9,9,1,4,1,0.26807403564453125,49,2190,0.26807403564453125,0.2679262161254883,0.26838207244873047
10,9,1,4,2,0.26831698417663574,49,2190,0.2687559127807617,0.26831698417663574,0.2679469585418701
11,9,1,4,3,0.2605462074279785,49,2056,0.2623741626739502,0.2605462074279785,0.25902605056762695
12,9,1,5,1,0.1789400577545166,4,1452,0.1789400577545166,0.17810487747192383,0.17902183532714844
13,9,1,5,2,0.17808008193969727,4,1452,0.17809009552001953,0.17774391174316406,0.17808008193969727
14,9,1,5,3,0.1693110466003418,4,1321,0.16869783401489258,0.1693110466003418,0.1695539951324463
15,9,2,1,1,0.09887099266052246,20,786,0.09929299354553223,0.09887099266052246,0.09882426261901855
16,9,2,1,2,0.09893798828125,20,786,0.09922289848327637,0.09893798828125,0.09852313995361328
17,9,2,1,3,0.03994107246398926,20,300,0.040107011795043945,0.03994107246398926,0.03971600532531738
18,9,2,2,1,0.16634011268615723,50,1379,0.1656017303466797,0.16634011268615723,0.1663520336151123
19,9,2,2,2,0.1650257110595703,50,1379,0.16507411003112793,0.1650257110595703,0.16474485397338867
20,9,2,2,3,0.1653130054473877,50,1338,0.16517925262451172,0.16559195518493652,0.1653130054473877
21,9,2,3,1,0.18732070922851562,85,1532,0.18705010414123535,0.18732070922851562,0.18923306465148926
22,9,2,3,2,0.18898391723632812,85,1532,0.1893901824951172,0.18898391723632812,0.18705105781555176
23,9,2,3,3,0.1694622039794922,85,1332,0.16958212852478027,0.1694622039794922,0.16854596138000488
24,9,2,4,1,0.0665431022644043,52,560,0.0665431022644043,0.06660723686218262,0.06624889373779297
25,9,2,4,2,0.06630229949951172,52,560,0.0666041374206543,0.06630229949951172,0.06616497039794922
26,9,2,4,3,0.04923701286315918,52,402,0.0491180419921875,0.04923701286315918,0.04924607276916504
27,9,2,5,1,0.18323779106140137,3,1466,0.18323779106140137,0.18382787704467773,0.1831498146057129
28,9,2,5,2,0.183516263961792,3,1466,0.183516263961792,0.18245577812194824,0.18357610702514648
29,9,2,5,3,0.14562392234802246,3,1110,0.14562392234802246,0.14555597305297852,0.14705276489257812
30,9,3,1,1,0.1591479778289795,7,1253,0.1591479778289795,0.15948009490966797,0.15830326080322266
31,9,3,1,2,0.15811395645141602,7,1253,0.1590137481689453,0.15786075592041016,0.15811395645141602
32,9,3,1,3,0.0862128734588623,7,659,0.08659005165100098,0.0862128734588623,0.08592486381530762
33,9,3,2,1,0.172652006149292,9,1349,0.17247915267944336,0.17323803901672363,0.172652006149292
34,9,3,2,2,0.17276763916015625,9,1349,0.17349910736083984,0.17276763916015625,0.17203187942504883
35,9,3,2,3,0.13747215270996094,9,1015,0.13795185089111328,0.13747215270996094,0.1373121738433838
36,9,3,3,1,0.19731998443603516,3,1521,0.19731998443603516,0.1972339153289795,0.19739007949829102
37,9,3,3,2,0.19741201400756836,3,1521,0.19745898246765137,0.19720721244812012,0.19741201400756836
38,9,3,3,3,0.151320219039917,3,1100,0.151320219039917,0.15132594108581543,0.1507120132446289
39,9,3,4,1,0.12640905380249023,28,1004,0.12644600868225098,0.12640905380249023,0.12549495697021484
40,9,3,4,2,0.1263279914855957,28,1004,0.12606525421142578,0.1263279914855957,0.12653493881225586
41,9,3,4,3,0.12731385231018066,28,968,0.12731385231018066,0.1274120807647705,0.127089262008667
42,9,3,5,1,0.05328798294067383,16,400,0.053400278091430664,0.05328798294067383,0.05289006233215332
43,9,3,5,2,0.05321502685546875,16,400,0.05321502685546875,0.05333685874938965,0.053015947341918945
44,9,3,5,3,0.022839069366455078,16,156,0.022839069366455078,0.022941112518310547,0.022825002670288086
45,9,4,1,1,0.2082502841949463,3,1646,0.20843911170959473,0.2082502841949463,0.20799899101257324
46,9,4,1,2,0.20792388916015625,3,1646,0.20870304107666016,0.20792388916015625,0.20788908004760742
47,9,4,1,3,0.11631417274475098,3,891,0.11688804626464844,0.11631417274475098,0.11613082885742188
48,9,4,2,1,0.20343899726867676,20,1623,0.2031548023223877,0.20343899726867676,0.2036893367767334
49,9,4,2,2,0.2028980255126953,20,1623,0.2028980255126953,0.20270609855651855,0.2030630111694336
50,9,4,2,3,0.0608210563659668,20,464,0.0608210563659668,0.060690879821777344,0.0608220100402832
51,9,4,3,1,0.17562222480773926,4,1414,0.1764812469482422,0.17562222480773926,0.17449688911437988
52,9,4,3,2,0.17463207244873047,4,1414,0.17462706565856934,0.1747570037841797,0.17463207244873047
53,9,4,3,3,0.04365801811218262,4,340,0.043786048889160156,0.04365801811218262,0.04356217384338379
54,9,4,4,1,0.39583492279052734,349,3312,0.3917262554168701,0.39754605293273926,0.39583492279052734
55,9,4,4,2,0.3974640369415283,349,3312,0.40694403648376465,0.3974640369415283,0.39678072929382324
56,9,4,4,3,0.257627010345459,349,2075,0.257627010345459,0.2537038326263428,0.27202606201171875
57,9,4,5,1,0.28768014907836914,1,2207,0.29456377029418945,0.28768014907836914,0.2872490882873535
58,9,4,5,2,0.28891801834106445,1,2207,0.28891801834106445,0.28949522972106934,0.28823208808898926
59,9,4,5,3,0.15814661979675293,1,1108,0.15814661979675293,0.15781188011169434,0.15818071365356445
60,9,5,1,1,0.13439011573791504,4,1056,0.13443398475646973,0.13432717323303223,0.13439011573791504
61,9,5,1,2,0.13425517082214355,4,1056,0.13425517082214355,0.13373994827270508,0.13435697555541992
62,9,5,1,3,0.03299212455749512,4,238,0.03297591209411621,0.033264875411987305,0.03299212455749512
63,9,5,2,1,0.4286191463470459,6,3320,0.4286530017852783,0.4286191463470459,0.4281752109527588
64,9,5,2,2,0.4279630184173584,6,3320,0.4272470474243164,0.4279630184173584,0.4281611442565918
65,9,5,2,3,0.14060592651367188,6,997,0.1409909725189209,0.1403670310974121,0.14060592651367188
66,9,5,3,1,0.4445970058441162,1,3404,0.44579577445983887,0.4445970058441162,0.4438052177429199
67,9,5,3,2,0.4446260929107666,1,3404,0.4442710876464844,0.44654393196105957,0.4446260929107666
68,9,5,3,3,0.10465002059936523,1,740,0.10443496704101562,0.10465002059936523,0.10486602783203125
69,9,5,4,1,0.25204992294311523,179,2040,0.2522900104522705,0.2516798973083496,0.25204992294311523
70,9,5,4,2,0.2528378963470459,179,2040,0.2528378963470459,0.25223612785339355,0.253298282623291
71,9,5,4,3,0.15287423133850098,179,1185,0.1532421112060547,0.1526498794555664,0.15287423133850098
72,9,5,5,1,0.3336520195007324,100,2716,0.3352179527282715,0.3336520195007324,0.3333859443664551
73,9,5,5,2,0.3335707187652588,100,2716,0.33405399322509766,0.33302903175354004,0.3335707187652588
74,9,5,5,3,0.16298270225524902,100,1246,0.16298270225524902,0.16309571266174316,0.16168498992919922
75,9,6,1,1,0.4204869270324707,36,3408,0.42324304580688477,0.4204869270324707,0.42034482955932617
76,9,6,1,2,0.4218480587005615,36,3408,0.4202079772949219,0.4241769313812256,0.4218480587005615
77,9,6,1,3,0.11542987823486328,36,868,0.11542987823486328,0.1152501106262207,0.11571669578552246
78,9,6,2,1,0.40142297744750977,6,3240,0.40148401260375977,0.40142297744750977,0.3986797332763672
79,9,6,2,2,0.4017820358276367,6,3240,0.4017820358276367,0.40151286125183105,0.40242576599121094
80,9,6,2,3,0.15217089653015137,6,1158,0.15319609642028809,0.15214014053344727,0.15217089653015137
81,9,6,3,1,0.4401428699493408,27,3552,0.44087719917297363,0.4394111633300781,0.4401428699493408
82,9,6,3,2,0.44043993949890137,27,3552,0.44000911712646484,0.44504880905151367,0.44043993949890137
83,9,6,3,3,0.2498157024383545,27,1920,0.25113391876220703,0.24975204467773438,0.2498157024383545
84,9,6,4,1,0.6929152011871338,15,5180,0.6920042037963867,0.6929152011871338,0.6950299739837646
85,9,6,4,2,0.6973047256469727,15,5180,0.6982498168945312,0.6973047256469727,0.6941030025482178
86,9,6,4,3,0.5734870433807373,15,3931,0.5776469707489014,0.5734870433807373,0.5730941295623779
87,9,6,5,1,0.21298789978027344,2,1560,0.21325278282165527,0.21298789978027344,0.2123889923095703
88,9,6,5,2,0.2119760513305664,2,1560,0.21421194076538086,0.2119760513305664,0.2118968963623047
89,9,6,5,3,0.051218271255493164,2,340,0.05127120018005371,0.051218271255493164,0.050853729248046875
90,9,7,1,1,1.907447099685669,2520,15120,1.9098291397094727,1.907447099685669,1.9071290493011475
91,9,7,1,2,1.9294259548187256,2520,15120,1.93483304977417,1.9272501468658447,1.9294259548187256
92,9,7,1,3,1.520632266998291,2520,11280,1.5202548503875732,1.5239520072937012,1.520632266998291
93,9,7,2,1,0.8743400573730469,2,6470,0.8743400573730469,0.8762259483337402,0.8724040985107422
94,9,7,2,2,0.8734080791473389,2,6470,0.8746500015258789,0.8732552528381348,0.8734080791473389
95,9,7,2,3,0.6223149299621582,2,4443,0.6223149299621582,0.6225848197937012,0.6221539974212646
96,9,7,3,1,1.5024769306182861,6,12084,1.5024769306182861,1.499197006225586,1.506131887435913
97,9,7,3,2,1.504000186920166,6,12084,1.504000186920166,1.5051159858703613,1.5010731220245361
98,9,7,3,3,0.9041240215301514,6,6976,0.9045202732086182,0.9041240215301514,0.90116286277771
99,9,7,4,1,2.90788197517395,16,22284,2.910064935684204,2.905466318130493,2.90788197517395
100,9,7,4,2,2.8927600383758545,16,22284,2.866109848022461,2.8927600383758545,2.906688928604126
101,9,7,4,3,1.0890839099884033,16,7660,1.0904510021209717,1.0876197814941406,1.0890839099884033
102,9,7,5,1,1.9260551929473877,28,14784,1.9346301555633545,1.9215810298919678,1.9260551929473877
103,9,7,5,2,1.91507887840271,28,14784,1.91507887840271,1.9230058193206787,1.9127228260040283
104,9,7,5,3,1.2069458961486816,28,8684,1.2069458961486816,1.205934762954712,1.221186876296997
105,9,8,1,1,5.801179885864258,5670,45360,5.801179885864258,5.7835776805877686,5.805537700653076
106,9,8,1,2,5.820652961730957,5670,45360,5.820276975631714,5.820652961730957,5.82421612739563
107,9,8,1,3,5.8246910572052,5670,41616,5.8246910572052,5.792607069015503,5.838105201721191
108,9,8,2,1,7.972132205963135,10080,60480,7.972132205963135,7.496044874191284,8.035229921340942
109,9,8,2,2,7.717833995819092,10080,60480,7.4691712856292725,8.069051027297974,7.717833995819092
110,9,8,2,3,7.43902587890625,10080,58080,8.004053831100464,7.43902587890625,7.410105228424072
111,9,8,3,1,4.638818979263306,2,35574,4.668980360031128,4.638818979263306,4.6336493492126465
112,9,8,3,2,4.743444919586182,2,35574,4.743444919586182,5.077040910720825,4.644327163696289
113,9,8,3,3,2.5487382411956787,2,17896,2.561128854751587,2.5487382411956787,2.53759503364563
114,9,8,4,1,4.819551229476929,2,36828,4.813667058944702,4.819551229476929,4.839751958847046
115,9,8,4,2,4.832443952560425,2,36828,4.855699062347412,4.831257104873657,4.832443952560425
116,9,8,4,3,2.3110389709472656,2,15950,2.3108551502227783,2.3115501403808594,2.3110389709472656
117,9,8,5,1,4.1146697998046875,69,31412,4.117759943008423,4.1146697998046875,4.103764057159424
118,9,8,5,2,4.137912034988403,69,31412,4.137912034988403,4.147058010101318,4.131103992462158
119,9,8,5,3,2.2036941051483154,69,15430,2.2037911415100098,2.2036941051483154,2.197280168533325
